Name,State_Born,Batting_Avg,Innings_Pitched,Games,Starts,Strikeouts,Earned_Runs,Walks_Allowed,Hit_Batters,Int_Walks,Hits,Homeruns_Allowed
A. J. Achter,OH,0.277,61,45,0,33,27,21,1,2,69,13
A. J. Burnett,AR,0.259,1146,187,186,1040,534,435,73,12,1127,116
A. J. Cole,FL,0.293,173,79,19,181,94,72,5,3,188,35
A. J. Griffin,CA,0.243,478,88,85,403,231,147,18,3,437,94
A. J. Minter,TX,0.255,105,117,0,130,50,47,3,6,106,7
A. J. Morris,TX,0.237,10,7,0,9,7,8,0,0,9,2
A. J. Puk,IA,0.238,11,10,0,13,4,5,0,0,10,1
A. J. Schugel,FL,0.281,93,73,0,78,33,32,1,4,89,9
AJ Ramos,TX,0.212,364,374,0,426,125,200,15,14,265,24
Aaron Barrett,IN,0.234,69,90,0,84,27,27,4,2,61,2
Aaron Blair,NV,0.299,70,15,15,46,59,34,6,4,82,14
Aaron Brooks,CA,0.286,160,40,27,117,107,48,14,0,185,30
Aaron Bummer,CA,0.221,120,125,0,112,42,49,5,3,96,9
Aaron Civale,CT,0.216,57,10,10,46,15,16,1,0,44,4
Aaron Cook,KY,0.307,318,59,58,130,196,110,10,10,391,35
Aaron Crow,KS,0.245,233,254,0,208,89,99,3,8,210,28
Aaron Harang,CA,0.268,979,169,167,719,467,343,24,22,1038,117
Aaron Heilman,IN,0.289,107,102,0,88,63,37,6,4,121,17
Aaron Laffey,MD,0.307,224,105,23,118,113,94,13,6,253,27
Aaron Loup,LA,0.26,315,369,0,297,123,98,31,14,307,25
Aaron Nola,LA,0.237,770,127,127,826,299,235,28,12,669,83
Aaron Poreda,CA,0.337,21,26,0,21,14,7,1,1,30,2
Aaron Sanchez,CA,0.231,588,150,96,474,261,262,28,6,542,62
Aaron Slegers,AZ,0.255,28,8,5,15,19,8,1,0,29,6
Aaron Thompson,NM,0.311,46,52,1,24,26,19,0,3,53,4
Aaron Wilkerson,TX,0.277,35,14,3,28,27,13,1,1,43,9
Adam Cimber,OR,0.273,124,138,0,99,54,36,10,11,124,11
Adam Conley,WA,0.261,412,174,56,358,222,172,26,19,417,54
Adam Kolarek,MD,0.254,96,123,0,68,41,25,8,7,95,9
Adam Liberatore,CA,0.226,84,114,0,88,34,34,3,8,70,6
Adam Morgan,FL,0.252,329,182,36,286,177,96,11,9,349,56
Adam Ottavino,NY,0.225,477,439,3,552,183,214,22,24,410,46
Adam Plutko,CA,0.264,185,38,32,138,104,49,5,3,193,43
Adam Russell,OH,0.255,47,48,0,31,18,25,3,1,45,2
Adam Wainwright,GA,0.256,1456,234,230,1265,565,383,43,28,1396,118
Adam Warren,AL,0.236,487,322,20,427,187,169,17,13,427,54
Adam Wilk,CA,0.342,34,11,4,23,27,14,0,1,51,10
Addison Reed,CA,0.245,456,465,0,469,180,119,9,23,428,53
Adrian Houser,OK,0.25,124,42,18,125,51,44,6,2,114,14
Adrian Sampson,WA,0.286,148,40,19,116,93,40,11,1,180,35
Alan Busenitz,GA,0.273,56,51,0,49,29,23,2,0,59,12
Alec Asher,FL,0.273,116,36,18,76,72,37,10,2,125,19
Alec Mills,TN,0.202,54,16,6,65,19,18,7,0,42,6
Alex Burnett,CA,0.269,168,174,0,106,87,70,13,9,173,14
Alex Cobb,MA,0.274,862,146,146,680,370,249,33,15,841,98
Alex Hinshaw,CA,0.217,28,31,0,36,14,20,2,2,23,5
Alex McRae,WI,0.314,32,13,2,24,30,21,4,1,44,9
Alex Meyer,IN,0.206,88,18,18,99,39,55,4,0,65,8
Alex Reyes,NJ,0.201,46,12,5,52,8,23,0,1,33,1
Alex Sanabia,CA,0.289,138,28,24,86,64,44,7,5,156,18
Alex White,NC,0.289,149,33,30,101,100,76,9,12,176,28
Alex Wimmers,OH,0.252,24,22,0,21,12,19,0,1,22,4
Alex Wood,NC,0.255,835,179,136,768,317,238,29,17,788,79
Alex Young,IL,0.229,83,17,15,71,33,27,4,4,72,14
